vatnLnr,area_km2,circum_km,avg_dep_m,max_dep_m,vol_Mm3,res_time_yr,regine,width_m,length_m,aspect_ratio,vassom,slp_min,slp_p25,slp_median,slp_p75,slp_max,slp_mean,slp_std,slp_count,dem_min,dem_p25,dem_median,dem_p75,dem_max,dem_mean,dem_std,dem_count,delta_elev
589,4.44,0.0,8.0,25.0,36.25,0.20166145,012.CDCB1,906.4169594460891,18443.15334500307,20.34731715111958,012,0.0,3.6634974479675293,6.687597751617432,11.369800090789795,52.231712341308594,8.533682790677625,6.908963552414071,17399,1059.78955078125,1120.7029418945312,1142.1148681640625,1191.2513427734375,1438.168212890625,1163.6804414046785,59.14137078887989,17399,103.8908906234285
601,1.68,9.09,11.0,39.0,17.862,0.048,012.CFC3,394.1141304705852,4220.293175285884,10.708302110981698,012,0.0,10.574451208114624,16.95812225341797,24.07305145263672,51.95619583129883,18.375595595810438,10.675170636757162,2184,729.9462890625,750.18603515625,780.5562744140625,831.5861053466797,1028.294189453125,799.8637820512821,63.14000323262818,2184,69.9174929887821
607,1.51,0.0,7.0,30.0,10.92,1.395,012.EC7C,380.8582505590848,3516.651614173494,9.233492011821168,012,0.0793997198343277,3.3542916774749756,5.850694179534912,8.976452827453613,20.81499481201172,6.381568333384672,3.8662201077447653,2029,488.49755859375,509.1102600097656,518.9154052734375,532.6710205078125,576.4542236328125,522.1812469196649,16.689475008664786,2029,33.683688325914886
610,0.43,0.0,2.0,13.8,1.1,0.00332402,012.EDB32,561.4755899310394,16779.981495105345,29.885504901764772,012,0.0,5.107880353927612,7.534017562866211,10.590967655181885,37.781150817871094,8.453916676964903,4.788783207932331,10115,641.2470703125,753.4161682128906,773.7478637695312,795.461669921875,892.28857421875,775.9982698961937,32.0485982263096,10115,134.75119958369373
626,5.0,0.0,15.0,44.0,79.22,1.97839873,012.CDBAB,715.7322123635763,6962.65890829335,9.728022279869768,012,0.03343714401125908,5.650604486465454,9.098609924316406,14.397019863128662,39.779541015625,10.793919184765501,6.913556436560268,6354,1069.6171875,1145.4076538085938,1173.8197021484375,1208.2914733886719,1350.2791748046875,1182.312244255587,46.55485925742821,6354,112.69505675558707
3262,0.26,0.0,3.0,13.0,0.93,0.02266593,012.EGA,130.69954428916117,1980.828338063145,15.155587181549294,012,0.19013945758342743,3.3073630332946777,5.169734954833984,7.016714572906494,13.86237907409668,5.469664274422654,2.9122557057898075,341,894.0,897.2442626953125,900.40771484375,904.9573364257812,921.01171875,901.7217741935484,5.722656681717057,341,7.721774193548413
4838,0.14,0.0,5.0,16.0,0.74,0.561,012.EB3Z,122.52910823005641,1214.4546965161448,9.911560722664584,012,0.3622313141822815,1.738057553768158,3.2459585666656494,5.112757682800293,13.286452293395996,3.917837373878924,2.8915208600306475,223,407.0165100097656,409.2544860839844,411.2474670410156,415.5597686767578,432.4830017089844,413.25686659192826,5.476924174297466,223,6.240356582162633
4891,0.25,3.04,8.0,26.0,1.888,1.066,012.EBC,178.02874656333245,1365.5026227087828,7.670124342660667,012,0.04169704020023346,4.173367619514465,6.719333648681641,9.149870157241821,17.506126403808594,6.9017340244391026,3.600554719696494,390,356.763671875,364.88851165771484,372.6514892578125,378.76788330078125,403.6153259277344,372.814983974359,9.286490750222228,390,16.051312099358995
6194,0.23,0.0,9.0,27.0,2.24,0.563,012.AB51,148.4490737438332,1638.682218185716,11.038682673180299,012,1.825149655342102,7.1423561573028564,12.824507713317871,19.664182662963867,33.18131637573242,13.93652628462099,7.605117921504462,343,300.8334045410156,310.3516082763672,321.5869140625,334.07728576660156,376.6459045410156,324.36010386297374,16.69252936505667,343,23.52669932195812
7371,1.16,0.0,11.0,42.0,13.58,1.974,012.DBB,207.99980769545527,6169.399494727951,29.66060191632932,012,0.05509278178215027,1.9418454468250275,9.152685165405273,17.95669937133789,49.469295501708984,11.608972025790349,10.668062648929519,1202,212.03125,214.68805694580078,220.96282958984375,240.9429473876953,383.38836669921875,231.96823003327788,25.30912094203202,1202,19.936980033277877
