regine,wood_din_µg/l,wood_totn_µg/l,wood_tdp_µg/l,wood_totp_µg/l,wood_toc_mg/l,upland_din_µg/l,upland_totn_µg/l,upland_tdp_µg/l,upland_totp_µg/l,upland_toc_mg/l,wood_ton_µg/l,wood_tpp_µg/l,upland_ton_µg/l,upland_tpp_µg/l
001.D1,73.6,504.6,1.4,11.3,22.5,65.8,302.6,2.0,8.5,10.0,431.0,9.9,236.8,6.5
001.D2,74.7,500.7,1.4,11.2,22.1,65.3,302.2,2.0,8.4,10.0,426.0,9.799999999999999,236.89999999999998,6.4
001.D3,73.8,500.6,1.5,11.3,22.2,64.0,300.2,2.0,8.5,10.0,426.8,9.8,236.2,6.5
001.D4,73.9,500.2,1.5,11.3,22.1,64.0,300.2,2.0,8.5,10.0,426.29999999999995,9.8,236.2,6.5
001.E1,73.4,500.4,1.5,11.4,22.2,63.3,299.1,2.0,8.5,10.0,427.0,9.9,235.8,6.5
001.E2,74.4,498.6,1.5,11.3,22.0,63.6,299.7,2.0,8.4,10.0,424.20000000000005,9.8,236.1,6.4
001.E31,74.0,496.6,1.6,11.4,22.0,61.6,296.5,2.0,8.5,10.0,422.6,9.8,234.9,6.5
001.E32,74.3,494.1,1.7,11.5,21.8,60.3,294.5,2.0,8.4,9.9,419.8,9.8,234.2,6.4
001.E3A,74.1,494.7,1.7,11.5,21.9,60.5,294.9,2.0,8.5,9.9,420.6,9.8,234.39999999999998,6.5
001.E3B,73.8,495.9,1.7,11.5,22.0,60.8,295.2,2.0,8.5,9.9,422.09999999999997,9.8,234.39999999999998,6.5
001.E3C,73.7,494.8,1.7,11.6,22.0,59.8,293.6,2.0,8.5,9.9,421.1,9.9,233.8,6.5
001.E4,74.8,494.1,1.7,11.4,21.7,61.1,295.9,2.0,8.4,9.9,419.3,9.700000000000001,234.79999999999998,6.4
001.F11,74.8,491.1,1.8,11.6,21.7,58.6,291.7,2.0,8.4,9.9,416.3,9.799999999999999,233.1,6.4
001.F12,77.2,485.2,1.9,11.6,21.1,56.8,288.8,2.0,8.4,9.8,408.0,9.7,232.0,6.4
001.F1A,76.3,486.6,1.9,11.6,21.3,56.6,288.4,2.0,8.4,9.8,410.3,9.7,231.79999999999998,6.4
001.F1B,76.0,486.8,1.9,11.7,21.4,56.1,287.4,2.0,8.5,9.8,410.8,9.799999999999999,231.29999999999998,6.5
001.F1C,75.7,487.0,1.9,11.8,21.5,55.5,286.2,2.1,8.5,9.8,411.3,9.9,230.7,6.4
001.F2,76.7,487.4,1.9,11.5,21.2,58.3,291.4,2.0,8.3,9.9,410.7,9.6,233.09999999999997,6.300000000000001
001.F3,78.1,483.4,2.0,11.6,21.0,56.0,287.5,2.0,8.3,9.8,405.29999999999995,9.6,231.5,6.300000000000001
001.F4,78.5,482.8,2.0,11.6,20.9,56.2,287.9,2.0,8.3,9.8,404.3,9.6,231.7,6.300000000000001
001.F5,79.7,480.8,2.0,11.6,20.7,55.6,286.8,2.0,8.3,9.7,401.1,9.6,231.20000000000002,6.300000000000001
001.F6,79.7,480.8,2.0,11.6,20.7,55.6,287.0,2.0,8.3,9.7,401.1,9.6,231.4,6.300000000000001
001.FA,79.7,480.5,2.0,11.7,20.8,54.8,285.4,2.0,8.3,9.7,400.8,9.7,230.59999999999997,6.300000000000001
001.FB,78.3,482.6,2.0,11.8,21.1,54.6,284.6,2.0,8.4,9.7,404.3,9.8,230.00000000000003,6.4
001.FC11,77.7,482.9,1.9,11.9,21.3,53.6,282.5,2.1,8.5,9.7,405.2,10.0,228.9,6.4
001.FC12,78.6,481.3,1.9,12.0,21.2,52.4,280.0,2.1,8.6,9.6,402.70000000000005,10.1,227.6,6.5
001.FC1A,77.0,483.7,1.9,12.0,21.4,53.4,282.0,2.1,8.6,9.7,406.7,10.1,228.6,6.5
001.FC1B,76.7,484.3,1.9,11.9,21.4,53.8,282.8,2.1,8.6,9.7,407.6,10.0,229.0,6.5
001.FC1C,76.2,485.3,1.9,11.9,21.5,54.2,283.6,2.1,8.6,9.7,409.1,10.0,229.40000000000003,6.5
001.FC2,80.2,479.5,2.0,11.9,20.9,52.9,281.4,2.1,8.5,9.6,399.3,9.9,228.49999999999997,6.4
001.FD,82.2,477.0,2.0,12.0,20.8,51.2,277.8,2.1,8.5,9.6,394.8,10.0,226.60000000000002,6.4
001.G0,81.0,478.6,2.0,11.6,20.6,54.9,285.6,2.0,8.3,9.7,397.6,9.6,230.70000000000002,6.300000000000001
001.GA0,82.6,476.1,2.1,11.6,20.3,54.4,284.8,2.0,8.2,9.7,393.5,9.5,230.4,6.199999999999999
001.GAA,87.8,467.7,2.2,11.5,19.6,52.6,281.5,2.0,8.1,9.6,379.9,9.3,228.9,6.1
001.GAB,89.0,466.2,2.2,11.6,19.5,51.7,279.7,2.0,8.2,9.5,377.2,9.399999999999999,228.0,6.199999999999999
001.GB,83.2,475.1,2.1,11.5,20.2,54.6,285.2,2.0,8.2,9.7,391.90000000000003,9.4,230.6,6.199999999999999
001.GC,83.0,475.5,2.1,11.5,20.2,55.0,286.0,2.0,8.2,9.7,392.5,9.4,231.0,6.199999999999999
001.GD,78.2,483.6,1.9,11.5,20.9,57.1,289.5,2.0,8.3,9.8,405.40000000000003,9.6,232.4,6.300000000000001
001.H1,81.9,477.2,2.1,11.7,20.5,53.7,283.2,2.0,8.3,9.7,395.29999999999995,9.6,229.5,6.300000000000001
001.H2,85.4,471.9,2.1,11.6,20.0,52.9,281.9,2.0,8.2,9.6,386.5,9.5,228.99999999999997,6.199999999999999
001.H3,83.8,474.5,2.1,11.7,20.3,52.8,281.7,2.0,8.3,9.6,390.7,9.6,228.89999999999998,6.300000000000001
001.H4,84.2,473.7,2.1,11.7,20.2,52.8,281.7,2.0,8.3,9.6,389.5,9.6,228.89999999999998,6.300000000000001
001.J1,84.2,473.8,2.1,11.7,20.2,52.6,281.1,2.0,8.3,9.6,389.6,9.6,228.50000000000003,6.300000000000001
001.J2,84.6,473.3,2.1,11.7,20.2,52.6,281.4,2.0,8.3,9.6,388.70000000000005,9.6,228.79999999999998,6.300000000000001
001.J3,83.3,475.1,2.1,11.8,20.4,52.5,280.8,2.0,8.4,9.6,391.8,9.700000000000001,228.3,6.4
001.J4,85.5,472.1,2.1,11.7,20.1,51.8,279.6,2.0,8.3,9.6,386.6,9.6,227.8,6.300000000000001
001.K110,83.7,474.8,2.1,11.8,20.4,51.7,279.3,2.1,8.4,9.6,391.1,9.700000000000001,227.60000000000002,6.300000000000001
001.K11A,83.1,475.7,2.0,11.9,20.6,51.6,278.9,2.1,8.4,9.6,392.6,9.9,227.29999999999998,6.300000000000001
001.K11B,82.6,476.2,2.0,11.9,20.6,52.1,279.8,2.1,8.4,9.6,393.6,9.9,227.70000000000002,6.300000000000001
001.K11C,82.0,477.1,2.0,11.8,20.6,52.6,280.9,2.1,8.4,9.6,395.1,9.8,228.29999999999998,6.300000000000001
001.K12,84.5,473.9,2.1,11.9,20.4,51.0,277.7,2.1,8.4,9.5,389.4,9.8,226.7,6.300000000000001
001.K1Z,86.3,471.5,2.1,11.9,20.2,50.1,275.8,2.1,8.5,9.5,385.2,9.8,225.70000000000002,6.4
001.K2,84.9,473.1,2.1,11.8,20.3,51.3,278.5,2.1,8.4,9.5,388.20000000000005,9.700000000000001,227.2,6.300000000000001
001.K3,87.6,469.4,2.1,11.8,20.0,50.3,276.5,2.1,8.4,9.5,381.79999999999995,9.700000000000001,226.2,6.300000000000001
001.K41,87.3,469.6,2.1,11.8,19.9,50.9,277.7,2.0,8.3,9.5,382.3,9.700000000000001,226.79999999999998,6.300000000000001
001.K42,90.1,465.4,2.2,11.8,19.6,49.6,275.1,2.0,8.3,9.4,375.29999999999995,9.600000000000001,225.50000000000003,6.300000000000001
001.K4A,89.9,465.3,2.2,11.7,19.5,50.3,276.7,2.0,8.3,9.5,375.4,9.5,226.39999999999998,6.300000000000001
001.K4B,88.6,467.1,2.2,11.6,19.6,51.3,278.8,2.0,8.2,9.5,378.5,9.399999999999999,227.5,6.199999999999999
001.K4C,87.0,469.8,2.2,11.7,19.9,51.4,278.9,2.0,8.3,9.5,382.8,9.5,227.49999999999997,6.300000000000001
001.L,89.0,467.5,2.1,11.9,19.9,49.4,274.5,2.1,8.4,9.4,378.5,9.8,225.1,6.300000000000001
001.M,90.0,466.0,2.1,11.9,19.8,48.6,272.7,2.1,8.4,9.4,376.0,9.8,224.1,6.300000000000001
002.1110,83.3,485.9,1.5,10.4,20.5,68.8,307.1,1.9,8.0,10.1,402.59999999999997,8.9,238.3,6.1
002.111Z,81.8,487.8,1.5,10.6,20.7,67.6,305.6,2.0,8.0,10.1,406.0,9.1,238.00000000000003,6.0
002.1120,83.8,484.1,1.5,10.4,20.3,68.5,306.7,1.9,7.9,10.1,400.3,8.9,238.2,6.0
002.112Z,82.5,485.3,1.5,10.5,20.5,67.3,305.2,1.9,8.0,10.0,402.8,9.0,237.89999999999998,6.1
002.1130,83.5,482.9,1.5,10.5,20.2,67.3,305.3,1.9,7.9,10.0,399.4,9.0,238.0,6.0
002.113Z,82.1,485.2,1.6,10.6,20.5,66.6,304.3,2.0,8.0,10.0,403.1,9.0,237.70000000000002,6.0
