regine,trans_totp,trans_tdp,trans_tpp,trans_totn,trans_din,trans_ton,trans_ss,trans_toc,ret_totp,ret_tdp,ret_tpp,ret_totn,ret_din,ret_ton,ret_ss,ret_toc
001.E2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.E31,0.580637,0.734687,0.409083,0.89326,0.86257,0.964157,0.020856,0.683767,0.419363,0.265313,0.590917,0.10674,0.13743,0.035843,0.979144,0.316233
001.E32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.E3A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.E3B,0.684458,0.812675,0.520286,0.781727,0.728708,0.920075,0.049683,0.755893,0.315542,0.187325,0.479714,0.218273,0.271292,0.079925,0.950317,0.244107
001.E3C,0.702515,0.831601,0.520632,0.897989,0.867478,0.96645,0.053076,0.742062,0.297485,0.168399,0.479368,0.102011,0.132522,0.03355,0.946924,0.257938
001.E4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.F11,0.557716,0.716069,0.38669,0.869124,0.832793,0.955248,0.017361,0.667377,0.442284,0.283931,0.61331,0.130876,0.167207,0.044752,0.982639,0.332623
001.F12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.F1A,0.868441,0.929589,0.767473,0.983536,0.978168,0.994819,0.326223,0.882945,0.131559,0.070411,0.232527,0.016464,0.021832,0.005181,0.673777,0.117055
001.F1B,0.467833,0.637448,0.305341,0.682698,0.617398,0.87367,0.008514,0.600548,0.532167,0.362552,0.694659,0.317302,0.382602,0.12633,0.991486,0.399452
001.F1C,0.258474,0.479,0.093819,0.665168,0.587681,0.875072,2.6e-05,0.351913,0.741526,0.521,0.906181,0.334832,0.412319,0.124928,0.999974,0.648087
001.F2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.F3,0.799433,0.888539,0.665879,0.978927,0.972099,0.993347,0.150038,0.834385,0.200567,0.111461,0.334121,0.021073,0.027901,0.006653,0.849962,0.165615
001.F4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.F5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.F6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.FA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.FB,0.537163,0.698902,0.367206,0.79059,0.739004,0.923867,0.014746,0.652482,0.462837,0.301098,0.632794,0.20941,0.260996,0.076133,0.985254,0.347518
001.FC11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
