N°,Reference,Name,Type,Period,Location,z,tau,RTN,RDIN,LTN,LDIN,LDIN/LTN,CTP,TN/TP,rho,LDON,LTN_out,LDIN_out,LDON_out,RDON
14,Frisk et al. 2006,Iso-Roine,Lake,unknown,Finland,7.2,6.0,0.91,,5.0,,,12.0,33.0,0.16666666666666666,,0.44999999999999984,,,
15,Frisk et al. 2006,Kuohjärvi,Lake,unknown,Finland,9.9,1.8,0.29,,3.0,,,6.0,68.0,0.5555555555555556,,2.13,,,
16,Frisk et al. 2006,Nerkoojärvi,Lake,unknown,Finland,3.7,1.6,0.53,,3.0,,,21.0,28.0,0.625,,1.41,,,
17,Frisk et al. 2006,Parkanonjärvi,Lake,unknown,Finland,6.8,0.2,0.2,,45.0,,,31.0,28.0,5.0,,36.0,,,
18,Gibbs and White 1994,Horowhenua,Lake,1988-1989,New Zealand,1.3,0.1,0.59,,70.0,60.0,0.85,173.0,16.0,10.0,10.0,28.700000000000003,,,
19,Granina 1997,Baikal,Lake,"1967,1974,1991,1992",Russia,744.0,330.0,0.51,,1.0,,,23.0,8.0,0.0030303030303030303,,0.49,,,
20,Havens et al. 2001,Donghu,Lake,1997-1998,China,2.2,0.4,0.6,,53.0,,,400.0,8.0,2.5,,21.200000000000003,,,
21,Havens et al. 2001,Kasumigaura,Lake,1970-1980,Japan,4.0,0.6,0.69,,23.0,,,75.0,15.0,1.6666666666666667,,7.130000000000001,,,
22,Irfannullah and Moss 2008,Little Budworth Pool,Lake,2001-2003,United Kingdom,1.0,0.02,0.1,,577.0,,,83.0,118.0,50.0,,519.3000000000001,,,
23,Jeppesen et al. 1998,Arreskov,Lake,1989-1995,Denmark,1.9,1.8,0.58,,16.0,,,160.0,43.0,0.5555555555555556,,6.720000000000001,,,
24,Jeppesen et al. 1998,Engelsholm,Lake,1989-1995,Denmark,2.6,0.2,0.31,,40.0,,,95.0,22.0,5.0,,27.599999999999998,,,
25,Kronvang et al. 2001,Arresø,Lake,"unknown,10 years",Denmark,3.1,4.1,0.56,,12.0,,,430.0,16.0,0.24390243902439027,,5.279999999999999,,,
26,Kronvang et al. 2001,Drontermeer,Lake,"unknown,11-13 years",The Netherlands,1.1,0.02,0.2,,223.0,,,240.0,14.0,50.0,,178.4,,,
27,Kronvang et al. 2001,Nuldernauw,Lake,"unknown,11-13 years",The Netherlands,1.5,0.1,0.43,,60.0,,,129.0,21.0,10.0,,34.2,,,
